date,LNMV,PE,score,H_T,H_T,kama,ema12,ema13,ema14,ema15,ema16,ema17,ema18,ema19,ema20,ema21,ema22,ema23,ema24,ema25,ema26,ma_5,ma_6,ma_7,ma_8,ma_9,ma_10,ma_11,ma_12,ma_13,ma_14,ma_15,ma_16,ma_17,ma_18,ma_19,ma_20,fluctuation
2017/1/3,24.33087494,-67.20127348,29.19644609,,,24.8114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2017/1/4,24.33203616,-67.27935397,5.170474919,,,24.8402,24.81583077,24.81551429,24.81524,24.815,24.81478824,24.8146,24.81443158,24.81428,24.81414286,24.81401818,24.81390435,24.8138,24.813704,24.81361538,24.81353333,,,,,,,,,,,,,,,,,0.12
2017/1/5,24.3492945,-68.4505613,2.077251608,,,25.2726,24.88610296,24.88081224,24.87622133,24.8722,24.86864844,24.86548889,24.86265983,24.860112,24.85780544,24.85570744,24.85379093,24.85203333,24.85041568,24.84892189,24.84753827,,,,,,,,,,,,,,,,,1.74
2017/1/6,24.34815316,-68.37248081,24.03656249,,,25.2438,24.94113327,24.93266764,24.92523182,24.91865,24.91278392,24.90752346,24.90277985,24.8984808,24.89456683,24.89098858,24.88770476,24.88468056,24.88188643,24.87929713,24.87689099,,,,,,,,,,,,,,,,,-0.11
2017/1/9,24.34739155,-68.32042715,11.59150477,,,25.2342,24.98622046,24.97574369,24.96642758,24.95809375,24.95059758,24.94382085,24.93766618,24.93205272,24.92691284,24.92218962,24.91783478,24.91380718,24.91007151,24.90659735,24.90335833,25.08044,,,,,,,,,,,,,,,,-0.04
2017/1/10,24.37185185,-70.01217106,26.55005874,,,25.8492,25.11898654,25.10052316,25.08413057,25.06948203,25.05631551,25.04441853,25.03361711,25.02376745,25.01474972,25.00646329,24.99882306,24.99175658,24.98520179,24.97910525,24.97342067,25.288,25.20856667,,,,,,,,,,,,,,,2.44
2017/1/11,24.36700742,-69.67382228,27.90434389,,,25.7243,25.21211169,25.18963414,25.16948649,25.15133428,25.13490192,25.11996092,25.10632057,25.0938207,25.08232593,25.07172117,25.06190801,25.05280186,25.04432965,25.03642792,25.02904136,25.46482,25.36071667,25.28224286,,,,,,,,,,,,,,-0.48
2017/1/12,24.36101264,-69.25739301,9.852409419,,,25.5705,25.26724835,25.24404355,25.22295496,25.20372999,25.18614875,25.17002082,25.15518157,25.14148863,25.1288187,25.1170647,25.1061334,25.09594337,25.08642328,25.07751039,25.06914941,25.5244,25.48243333,25.39068571,25.318275,,,,,,,,,,,,,-0.6
2017/1/13,24.36961887,-69.85601008,0.187040078,,,25.7915,25.34790245,25.32225161,25.29876097,25.27720124,25.25736655,25.23907406,25.22216245,25.20648977,25.19193121,25.178377,25.1657305,25.15390643,25.14282941,25.13243267,25.12265686,25.63394,25.56891667,25.52658571,25.4407875,25.37085556,,,,,,,,,,,,0.86
2017/1/17,24.38331011,-70.81900277,2.036654248,,,25.80145653,25.47085592,25.4400871,25.41187284,25.38593859,25.36204107,25.33996583,25.3195243,25.30055079,25.28289966,25.26644273,25.25106698,25.23667256,25.22317106,25.210484,25.19854154,25.81652,25.71946667,25.65151429,25.60415,25.51926667,25.44848,,,,,,,,,,,1.38
2017/1/18,24.38147086,-70.68886862,7.833052052,,,25.81503738,25.56749347,25.53421751,25.50348979,25.47507126,25.44874212,25.42430296,25.40157437,25.38039571,25.36062351,25.34212975,25.32480028,25.30853318,25.29323738,25.27883139,25.26524217,25.86648,25.8636,25.77368571,25.70745,25.65913333,25.57724,25.50761818,,,,,,,,,,-0.18
2017/1/19,24.4029614,-72.22445156,7.332043915,,,25.815832,25.73649448,25.69590072,25.65849115,25.62393736,25.59194893,25.5622693,25.53467181,25.50895614,25.48494508,25.46248159,25.44142634,25.42165541,25.40305839,25.38553666,25.369002,26.05482,25.99973333,25.97822857,25.885225,25.81395556,25.75982,25.67621818,25.60415,,,,,,,,,2.17
2017/1/20,24.39754133,-71.83404912,28.61393403,,,25.82585817,25.8573261,25.81390062,25.77361233,25.73618269,25.70135494,25.66889493,25.63859057,25.61025053,25.58370269,25.55879236,25.53538058,25.51334246,25.49256571,25.47294923,25.45440186,26.2451,26.13266667,26.07432857,26.0461875,25.95596667,25.88475,25.8291,25.74669167,25.67474615,,,,,,,,-0.54
2017/1/23,24.41833807,-73.34360522,1.903745675,,,25.82598267,26.0453067,25.99465767,25.94769069,25.90405985,25.86345436,25.82559549,25.79023366,25.75714548,25.726131,25.69701123,25.66962574,25.64383059,25.61949646,25.59650698,25.57475727,26.50264,26.38411667,26.26788571,26.1999375,26.16096667,26.06829,25.99333636,25.933275,25.84919231,25.77506429,,,,,,,2.1
2017/1/24,24.43068172,-74.25454425,8.854126952,,,25.82632524,26.25758259,26.19900658,26.1446786,26.09418987,26.04717737,26.00331822,25.96232486,25.92394093,25.88793757,25.85411021,25.82227568,25.79226971,25.76394474,25.73716798,25.7118197,26.75824,26.65638333,26.53282857,26.4125375,26.33606667,26.28738,26.19163636,26.11265,26.04803077,25.96175714,25.88506667,,,,,,1.28
2017/1/25,24.43278257,-74.41070523,1.944012441,,,25.82723034,26.44460065,26.38103421,26.32181478,26.26656614,26.21494474,26.16663842,26.12136435,26.07886683,26.03891495,26.00130019,25.96583431,25.93234723,25.90068516,25.87070891,25.84229231,27.03308,26.8774,26.77307143,26.650375,26.53038889,26.44978,26.39518182,26.29843333,26.21730769,26.14982857,26.06252,25.984325,,,,,0.18
2017/1/26,24.42329383,-73.70798083,1.861917229,,,25.83686145,26.56292363,26.49998647,26.44073281,26.38495787,26.33244536,26.28297859,26.23634705,26.19235015,26.15079924,26.11151836,26.07434437,26.03912663,26.00572635,25.97401591,25.94387807,27.14262,27.06318333,26.92544286,26.82815,26.71296667,26.59872,26.51922727,26.46339167,26.36883846,26.28847857,26.22075333,26.13446875,26.05664118,,,,-0.94
2017/1/27,24.42470526,-73.81208815,11.8630635,,,25.87482623,26.66896615,26.60744554,26.54892844,26.49336314,26.44065179,26.39066986,26.34327894,26.29833514,26.25569455,26.21521669,26.1767666,26.14021608,26.10544424,26.07233777,26.0407908,27.28868,27.16088333,27.09018571,26.9662875,26.87526667,26.76689,26.65812727,26.58030833,26.52406923,26.43193571,26.35272667,26.28521875,26.20021765,26.12306111,,,0.14
2017/1/30,24.4317327,-74.33262474,2.641688473,,,25.91146463,26.78826366,26.72701046,26.66832465,26.61224274,26.55873981,26.50775099,26.45918642,26.41294162,26.36890459,26.32696063,26.28699559,26.24889807,26.2125607,26.17788101,26.14476186,27.36172,27.31463333,27.20138571,27.1344625,27.01941111,26.93218,26.82848182,26.72365,26.64677692,26.58980714,26.49943333,26.42095625,26.35340588,26.26933889,26.19260526,,0.71
2017/1/31,24.4261147,-73.91619547,2.905865215,,,25.96053073,26.86554618,26.80752326,26.75129469,26.6970374,26.64484101,26.59473421,26.54670364,26.50070746,26.45668511,26.41456421,26.37426554,26.33570656,26.29880385,26.26347478,26.22963875,27.33482,27.34986667,27.3112,27.2125375,27.15181111,27.04653,26.96476364,26.86699167,26.76726154,26.69276429,26.63652667,26.54888125,26.47211176,26.40547222,26.32308947,26.247505,-0.56
2017/2/1,24.41656218,-73.21347107,1.604796132,,,26.12233838,26.89103138,26.83947708,26.7886154,26.73880773,26.69029501,26.64323041,26.59770325,26.55375671,26.51140081,26.47062201,26.43139028,26.39366435,26.35739554,26.32253057,26.28901366,27.24642,27.28421667,27.30434286,27.2762,27.19238889,27.13975,27.04513636,26.9703,26.87962308,26.78611429,26.71532667,26.66119375,26.57725294,26.50317222,26.43840526,26.358495,-0.95
