date,LNMV,PE,score,H_T,H_T,kama,ema12,ema13,ema14,ema15,ema16,ema17,ema18,ema19,ema20,ema21,ema22,ema23,ema24,ema25,ema26,ma_5,ma_6,ma_7,ma_8,ma_9,ma_10,ma_11,ma_12,ma_13,ma_14,ma_15,ma_16,ma_17,ma_18,ma_19,ma_20,fluctuation
2017/1/3,24.28024381,-51.94305259,24.53726433,,,14.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54
2017/1/4,24.3252985,-54.33685197,38.31345055,,,15.1327,14.56856923,14.56124286,14.55489333,14.5493375,14.54443529,14.54007778,14.53617895,14.53267,14.52949524,14.52660909,14.52397391,14.52155833,14.519336,14.51728462,14.51538519,,,,,,,,,,,,,,,,,4.61
2017/1/5,24.32424063,-54.27940078,,,,15.1167,14.65289704,14.64059388,14.62980089,14.62025781,14.61176055,14.60414691,14.59728643,14.591073,14.5854195,14.58025372,14.57551531,14.57115347,14.56712512,14.56339349,14.55992702,,,,,,,,,,,,,,,,,-0.11
2017/1/6,24.33415821,-54.82039944,,,,15.2673,14.74742057,14.73012332,14.71480077,14.70113809,14.68888284,14.67783059,14.66781417,14.6586957,14.6503605,14.64271247,14.6356705,14.62916568,14.62313911,14.61754015,14.61232502,,,,,,,,,,,,,,,,,1
2017/1/9,24.34402164,-55.3637919,,,,15.4187,14.85069433,14.82849142,14.808654,14.79083333,14.77474368,14.76014941,14.74685478,14.73469613,14.72353569,14.71325679,14.70376002,14.69496021,14.68678398,14.67916783,14.6720565,15.08028,,,,,,,,,,,,,,,,0.99
2017/1/10,24.33790647,-55.02626619,,,,15.3247,14.92361828,14.89937836,14.87746013,14.85756666,14.83944443,14.82287726,14.8076806,14.79369652,14.78078944,14.76884254,14.7577548,14.74743853,14.73781726,14.72882415,14.72040046,15.25202,15.12101667,,,,,,,,,,,,,,,-0.61
2017/1/11,24.33729725,-54.99275299,21.04176861,,,15.3153,14.98387701,14.95879574,14.93583878,14.91478333,14.89542744,14.87759089,14.86111422,14.84585687,14.8316952,14.81852049,14.806237,14.79476031,14.78401588,14.77393767,14.7644671,15.28854,15.26256667,15.14877143,,,,,,,,,,,,,,-0.06
2017/1/12,24.33668765,-54.9592398,17.56490512,,,15.306,15.03343439,15.00839635,14.98519361,14.96368541,14.94373009,14.92519191,14.9079443,14.89187118,14.87686709,14.86283681,14.84969465,14.83736362,14.82577461,14.81486555,14.80458065,15.3264,15.29145,15.26877143,15.168425,,,,,,,,,,,,,-0.06
2017/1/13,24.37161224,-56.91258009,6.161639458,,,15.85,15.15905987,15.12862544,15.10050113,15.07447473,15.05035008,15.02794836,15.00710806,14.98768406,14.96954641,14.95257892,14.93667772,14.92174999,14.90771264,14.89449127,14.88201912,15.44294,15.41366667,15.37124286,15.341425,15.24415556,,,,,,,,,,,,3.55
2017/1/17,24.3624431,-56.39312563,13.7458587,,,15.84576576,15.24309681,15.21100752,15.18114098,15.15332789,15.12740301,15.10320965,15.08060195,15.05944565,15.03961818,15.02100811,15.00351444,14.98704582,14.97151963,14.95686118,14.94300288,15.50026,15.48666667,15.45532857,15.413,15.38185556,15.29027,,,,,,,,,,,-0.91
